year,landuse,pixels,area,years_since,event
1989,1,57208.31,1716249.3,-2,SUC
1989,2,455462.8,13663884,-2,SUC
1989,3,150649891,4519496730,-2,SUC
1990,1,94306.35,2829190.5,-1,SUC
1990,2,444419.1,13332573,-1,SUC
1990,3,141020917,4230627510,-1,SUC
1991,1,89720.21,2691606.3,0,SUC
1991,2,448861.6,13465848,0,SUC
1991,3,147200716,4416021480,0,SUC
1992,1,50754.02,1522620.6,1,SUC
1992,2,375234.4,11257032,1,SUC
1992,3,174970804,5249124120,1,SUC
1993,1,94177.16,2825314.8,2,SUC
1993,2,1313212,39396360,2,SUC
1993,3,139905772,4197173160,2,SUC
1994,1,38786.33,1163589.9,3,SUC
1994,2,534979.9,16049397,3,SUC
1994,3,150149948,4504498440,3,SUC
1995,1,51511.19,1545335.7,4,SUC
1995,2,1279737,38392110,4,SUC
1995,3,103749049,3112471470,4,SUC
1996,1,45286.89,1358606.7,5,SUC
1996,2,1028632,30858960,5,SUC
1996,3,131933267,3957998010,5,SUC
1997,1,54846.76,1645402.8,6,SUC
1997,2,727921.3,21837639,6,SUC
1997,3,138765085,4162952550,6,SUC
1998,1,109852.2,3295566,7,SUC
1998,2,1045156,31354680,7,SUC
1998,3,115475688,3464270640,7,SUC
1999,1,44795.75,1343872.5,8,SUC
1999,2,740460.9,22213827,8,SUC
1999,3,119714669,3591440070,8,SUC
2000,1,60927.94,1827838.2,9,SUC
2000,2,1425543,42766290,9,SUC
2000,3,11067529,332025870,9,SUC
2001,1,85388.53,2561655.9,10,SUC
2001,2,1376691,41300730,10,SUC
2001,3,114091443,3422743290,10,SUC
2002,1,85598.09,2567942.7,11,SUC
2002,2,3155979,94679370,11,SUC
2002,3,62445555,1873366650,11,SUC
2003,1,80161.2,2404836,12,SUC
2003,2,607392,18221760,12,SUC
2003,3,100688160,3020644800,12,SUC
2004,1,99605.29,2988158.7,0,EUA
2004,2,734908.3,22047249,0,EUA
2004,3,116494563,3494836890,0,EUA
2005,1,66779.42,2003382.6,1,EUA
2005,2,375143.7,11254311,1,EUA
2005,3,117358365,3520750950,1,EUA
2006,1,59708.49,1791254.7,2,EUA
2006,2,900978.8,27029364,2,EUA
2006,3,128834879,3865046370,2,EUA
2007,1,44779.87,1343396.1,3,EUA
2007,2,987333.4,29620002,3,EUA
2007,3,111241461,3337243830,3,EUA
2008,1,63229.94,1896898.2,4,EUA
2008,2,644436.7,19333101,4,EUA
2008,3,107144303,3214329090,4,EUA
2009,1,84229.76,2526892.8,5,EUA
2009,2,1361854,40855620,5,EUA
2009,3,122251437,3667543110,5,EUA
2010,1,89469.72,2684091.6,6,EUA
2010,2,893873.9,26816217,6,EUA
2010,3,126441194,3793235820,6,EUA
2011,1,77314.39,2319431.7,7,EUA
2011,2,1299810,38994300,7,EUA
2011,3,129225098,3876752940,7,EUA